Store,Address,City,State,Zip,Type,Total Sales,%Sales Dry Grocery,%Sales FrozenFood,%Sales Dairy,%Sales Meat,%Sales Produce,%Sales Floral,%Sales Deli,%Sales Bakery,%Sales General_Merchandise
S0011,3251 De Forest Cir Ste A,Mira Loma,CA,91752,Existing,22395673.62,0.453793380919971,7.18815074426861e-002,9.39842835591385e-002,0.121442549402539,9.84667243065493e-002,7.89639566108304e-003,4.87167833623751e-002,3.24408447063268e-002,7.13775306393306e-002
S0012,1124 W Ocean Ave,Lompoc,CA,93436,Existing,49186541.13,0.465998768635106,7.43573582524037e-002,9.72651219234045e-002,0.114390617854775,9.43147434933285e-002,6.82503713999212e-003,4.50660924528401e-002,1.8591681158939e-002,8.31905790892111e-002
S0013,3520 Riverside Plaza Dr,Riverside,CA,92506,Existing,39169150.41,0.445549198216577,7.53523969528446e-002,9.07223203159591e-002,0.114048296509886,9.26613700325086e-002,7.91171794016964e-003,4.62765957654582e-002,3.42805992967668e-002,9.31975049698301e-002
S0014,3901 Portola Pkwy,Irvine,CA,92620,Existing,30987962.62,0.444373274837776,7.71851405440995e-002,9.77680803721068e-002,9.86968258450804e-002,0.106849081709651,1.0659684666936e-002,3.49266385554973e-002,2.05489027403506e-002,0.108992370728502
S0015,10675 Scripps Poway Pkwy,San Diego,CA,92131,Existing,37353757.66,0.447967998890744,7.78688036281488e-002,9.87655457204677e-002,9.99899973651004e-002,0.104974713807682,7.68547417941353e-003,3.49771429126951e-002,2.5105510094483e-002,0.102664813401266
S0016,1201 Avocado Ave,El Cajon,CA,92020,Existing,23352796.79,0.477239619743208,7.80635774118771e-002,9.14353402378919e-002,0.110087162711957,8.84690342907745e-002,6.25166618426264e-003,4.60523709288869e-002,2.87200400890398e-002,7.36811884021023e-002
S0017,30252 Crown Valley Pkwy,Laguna Niguel,CA,92677,Existing,31540952.65,0.438116993273505,7.87773101710674e-002,0.100133160689425,9.76993045896475e-002,0.133662869881643,1.33899763487328e-002,4.08569571217437e-002,2.82389209953048e-002,6.91245069289307e-002
S0018,10001 Paramount Blvd,Downey,CA,90240,Existing,24278729.39,0.452848213075289,7.90166214707334e-002,9.88272389158995e-002,0.106061652512203,0.109021685092393,9.31750366199868e-003,4.30237420262297e-002,3.49657931584203e-002,6.69175500868334e-002
S0019,17390 Main St,Hesperia,CA,92345,Existing,19682144.37,0.482712613087087,7.78811602630268e-002,9.74662858851899e-002,0.111624447453436,9.47995388573608e-002,5.75530073708122e-003,3.24576706679243e-002,1.95928193976559e-002,7.77101636512383e-002
S0020,850 Linden Ave,Carpinteria,CA,93013,Existing,23970811.4,0.458778303182511,7.78717048351563e-002,0.107141868797983,0.108469030798015,0.109103941304215,8.39495529133402e-003,3.81525787650225e-002,2.94363327225544e-002,6.26512843032089e-002
S0021,1311 Wilshire Blvd,Santa Monica,CA,90403,Existing,21742449.28,0.432833234600513,8.64529274413007e-002,0.122189831779614,8.61978936165191e-002,0.148002996284327,8.95073997845381e-003,3.65788347834196e-002,2.81656625761714e-002,5.06278789396813e-002
S0022,13438 Poway Rd,Poway,CA,92064,Existing,28489431.71,0.470503431463499,7.59484373723227e-002,9.66283640903133e-002,0.106098599676139,9.21528434376763e-002,8.66128333172007e-003,4.31421403035069e-002,3.40527371649703e-002,7.28121631598526e-002
S0023,5922 Edinger Ave,Huntington Beach,CA,92649,Existing,17688112.54,0.436646714709335,8.43224203049988e-002,0.108651507935284,0.10959789212196,0.107050713054769,9.48391071238628e-003,3.83357064506782e-002,3.61889929494988e-002,6.97221417610904e-002
S0024,15740 La Forge St,Whittier,CA,90603,Existing,24523501.43,0.455110408758624,8.21412576727629e-002,0.104005289264274,0.104835874980517,0.110498111280515,5.39150823863409e-003,4.11309197782855e-002,2.29546853905356e-002,7.39319446358521e-002
S0025,2684 N Tustin St,Orange,CA,92865,Existing,31318921.91,0.462041738907353,7.96288290882615e-002,0.10467268443724,0.104944114597717,0.111705642679959,5.30403059458313e-003,4.22825777274656e-002,3.07064714029296e-002,5.87139105644904e-002
S0026,2039 Verdugo Blvd,Montrose,CA,91020,Existing,21220147.15,0.457669123656383,7.84236654079942e-002,0.105388489730619,9.98834930322337e-002,0.113664812640095,8.33377302946743e-003,3.76578896626549e-002,3.05639652456416e-002,6.84147875949107e-002
S0027,29211 Heathercliff Rd,Malibu,CA,90265,Existing,26550184.65,0.446684730684161,7.76425647194134e-002,0.104030116792427,9.93901874802968e-002,0.132244501734567,1.62544345995726e-002,2.97228332082429e-002,2.33704608152321e-002,7.06601699660872e-002
S0028,24160 Lyons Ave,Newhall,CA,91321,Existing,17311101.58,0.452980599401,7.89614608685117e-002,0.103237472308796,0.119143713094658,0.116528949395721,3.531827811041e-003,3.72980527562706e-002,3.01457788568993e-002,5.8172145507103e-002
