RecordID,Country Name,Edu PC1,Edu PC2,Edu PC3,Econ PC1,Econ PC2,Econ PC3,Env PC1,Env PC2,Edu Ave_PC1,Edu Ave_PC2,Edu Ave_PC3
27,"Congo, Rep.",2.14056404040594,-2.26195061194441,-0.622332415023338,-3.23812721471146,9.83625504525828e-002,-1.00012753945639,-1.60769914808561,-0.222244476692685,-4.58636959967444,-0.306579593469381,0.672423252658573
28,Colombia,1.27076813285587,1.20602656132594,-0.259046957864669,4.54020756195364e-002,-1.31702184366339,-0.204970177006276,0.648728685213096,0.14053410734917,1.08301047241585,1.07521326345711,-0.542065597673758
29,Costa Rica,1.3283154826826,1.51955859795174,1.20067802259054,0.322896919602542,-0.11441916118604,-0.178214846223119,0.920721780659976,-1.32637526581538e-002,0.113379911075826,-0.302369391524537,-0.214875239450958
30,Cuba,-0.252486306881063,3.33377527380255,-0.13367011805173,0.393207644960548,2.32830128174374,-2.97280293750016,1.08661039992749,-0.155513324837759,3.46436567601276,1.80182890126784,0.166293811054993
31,Cyprus,-0.828832176928671,3.75240226513357,-0.129091701572284,1.1743718303268,0.726811838847283,-0.506842228090052,1.08661039992749,-0.155513324837759,4.88918090001834,0.838428065548221,0.91354813360756
32,Czech Republic,-5.44324179875902,-1.41150962224485,1.49617402893101,0.854648344023262,-2.14220579390888,-0.592460623249535,1.08661039992749,-0.155513324837759,8.05925267707913,-2.20227576439388,-0.455849120575062
33,Germany,-5.67504373276844,-0.94369328292389,1.06653211839032,2.45820398401904,-0.246073122758705,0.31773627785492,1.08661039992749,-0.155513324837759,7.23061302125315,-2.07491270382018,0.399258347134712
34,Denmark,-5.6308248498835,-1.62697965498463,0.586542147890215,2.06376165211357,1.08313622476787,-0.610502447961732,1.08661039992749,-0.155513324837759,5.56775468833562,-0.657002866224892,0.593553693561402
35,Dominican Republic,1.78036479762251,0.331491868052696,0.213570973478167,0.241467430907272,-5.23251928802864e-002,0.461788911722564,0.700380295159836,0.136160591578252,-0.557290600249504,0.375153173877205,0.244926234746852
36,Algeria,2.37093654868522,-0.890708804096758,-0.192361640525865,-2.19542844202494,-1.04989316843402,-1.45210124953472,0.756062158193308,0.175034916896426,-4.1157139324727,1.74541913500251,0.368376353536868
37,Ecuador,1.66086959087223,1.14558501044619,6.48641679870718e-002,0.190021238188924,0.552785191985102,0.535422657576487,1.19688051634892e-002,0.786749606233941,-1.28208305161397,0.384197799743286,0.764541204615027
38,"Egypt, Arab Rep.",2.41548908818446,-2.12155325214361,-0.684933555626243,-3.69710282981013e-002,-0.258555114600767,-0.612996774497634,0.789677233623903,0.141419841465831,-3.34923837699623,1.59052732165587,0.108515611041731
39,Spain,0.666380550501552,2.22681720124423,1.69512495159874,1.28411998487211,-1.25271355240758,1.21905559779442e-002,1.08661039992749,-0.155513324837759,3.87562962650696,-9.54206290180179e-003,-7.55578286132607e-002
40,Estonia,0.46589776272318,1.44418370385267,3.70872858530294,1.38981557363539,-1.37316320976583,-6.84638892600562e-002,1.08661039992749,-0.155513324837759,7.32028081116751,-1.95763584882717,-0.104134746043762
41,Finland,-6.53341936059358,-1.7160522744283,-3.71708867999403,1.90557988740987,0.542595532253743,-0.556582738713335,1.08661039992749,-0.155513324837759,6.42739359931359,-1.12474377766011,-6.77498886120845e-002
42,Fiji,-3.8500290806866,-3.19392990332587,1.20588550701261,-1.68095897965418,0.510756250588831,-0.7218958389657,0.125184588300818,-1.11693913646443,2.66639947266558,1.35221325012104,-0.608092835489322
43,France,-5.10626945199311,-1.72169435989295,1.95973916291308,1.7730650705915,-0.621960069833109,-0.257859219860899,1.08661039992749,-0.155513324837759,4.78268895078738,0.205479279130631,3.9632880331901e-002
44,Gabon,2.20251116493605,-1.49319093027789,-0.318853670685694,-2.26466944948521,-0.281834660848375,-0.592888276053382,-0.202792229689839,0.628013697098271,-0.426279350747291,1.91898157939766,0.718125095801646
45,United Kingdom,-6.53239529540349,-0.97346244479985,-2.61118126663305,2.26413091027618,0.290209936938133,0.456370138008977,1.08661039992749,-0.155513324837759,6.95598825600873,-2.30781606607611e-003,-0.633463936351305
46,Ghana,1.4016002892385,-0.157179908248313,0.63764455411958,-0.908374357488604,0.941495426966384,-6.59218443880227e-002,-0.824592568801118,5.66359711328833e-002,-2.68901700065125,0.528765078105284,-0.131110398570289
47,"Gambia, The",1.2979690574193,-2.77232309802354,-0.399818340542813,-2.06530432768283,-0.208242224963755,0.74210555382297,-1.43595084535599,-0.728400195146732,-8.19040106938313,-0.492386183664231,-0.920507260063755
48,Greece,0.92481745399554,2.19917499571405,1.61304089753079,1.1875949297735,-0.562713113058764,-0.710918758080374,1.08661039992749,-0.155513324837759,4.17329855469203,0.711714038584347,0.845615817888383
